lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i,chain
-8.7682,0.926518,0.965593,1,1,0,8.80157,0.0680229,215,3
-8.72322,1.0,0.965593,1,1,0,9.01085,0.0693889,216,3
-7.21294,0.92746,0.965593,1,3,0,9.69132,0.307634,217,3
-7.56402,0.789303,0.965593,1,3,0,8.22771,0.12577,218,3
-7.86421,0.952704,0.965593,1,1,0,7.90261,0.105374,219,3
-7.71121,1.0,0.965593,1,1,0,7.93095,0.114928,220,3
-7.71121,0.567693,0.965593,1,3,0,12.977,0.114928,221,3
-7.73723,0.995896,0.965593,1,1,0,7.86497,0.113195,222,3
-7.54029,1.0,0.965593,1,1,0,7.7597,0.127712,223,3
-8.52665,0.868631,0.965593,1,3,0,8.53593,0.0758204,224,3
-8.62784,0.989193,0.965593,1,1,0,8.8342,0.0724115,225,3
-7.02266,1.0,0.965593,2,3,0,8.31499,0.230368,226,3
-7.02271,0.976507,0.965593,2,3,0,7.14795,0.23199,227,3
-7.05829,0.962155,0.965593,2,3,0,7.23499,0.200592,228,3
-7.02987,0.990914,0.965593,2,3,0,7.12318,0.245,229,3
-7.3191,0.931283,0.965593,1,3,0,7.33035,0.327984,230,3
-7.51563,0.933207,0.965593,1,1,0,7.58823,0.358319,231,3
-9.40025,0.489934,0.965593,1,1,0,9.45827,0.526481,232,3
-7.47592,1.0,0.965593,2,3,0,9.45984,0.133314,233,3
-7.02266,0.986822,0.965593,1,3,0,7.48558,0.230572,234,3
-7.02273,0.999979,0.965593,1,3,0,7.02276,0.232238,235,3
-7.20718,0.954131,0.965593,1,3,0,7.22817,0.306398,236,3
-7.77955,0.71449,0.965593,1,3,0,8.60731,0.110477,237,3
-7.13073,0.91775,0.965593,1,3,0,8.17291,0.287882,238,3
-7.04123,1.0,0.965593,2,3,0,7.1035,0.253789,239,3
-7.16662,0.971864,0.965593,1,3,0,7.16672,0.297137,240,3
-7.29639,0.886226,0.965593,2,3,0,7.7282,0.152504,241,3
-7.02309,0.933983,0.965593,2,3,0,7.91426,0.234229,242,3
-7.05496,0.991176,0.965593,1,3,0,7.0652,0.201989,243,3
-8.16757,0.787505,0.965593,1,3,0,8.42695,0.0899719,244,3
-7.02315,1.0,0.965593,2,3,0,7.97607,0.227084,245,3
-8.42977,0.77796,0.965593,2,3,0,8.5161,0.0792999,246,3
-8.07751,1.0,0.965593,1,1,0,8.47077,0.0941455,247,3
-7.02272,0.913545,0.965593,2,3,0,9.09758,0.232114,248,3
-7.26965,0.937155,0.965593,1,3,0,7.33878,0.15601,249,3
