lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i
-7.16938,0.996858,0.962205,1,1,0,7.25317,0.148389,231
-7.16305,1.0,0.962205,1,1,0,7.25705,0.149049,232
-8.11517,0.87529,0.962205,1,3,0,8.12807,0.0882117,233
-10.5114,0.778753,0.962205,1,3,0,10.6641,0.0333005,234
-10.7219,0.996778,0.962205,2,3,0,11.0508,0.0308039,235
-7.19803,1.0,0.962205,1,3,0,11.1928,0.145486,236
-6.77143,1.0,0.962205,1,3,0,7.14004,0.223623,237
-7.0429,0.960233,0.962205,2,3,0,7.11385,0.353066,238
-6.76966,0.991429,0.962205,1,3,0,7.08409,0.224617,239
-6.7533,1.0,0.962205,1,1,0,6.76534,0.237301,240
-6.92159,0.850734,0.962205,2,3,0,7.69733,0.181582,241
-8.05084,0.851045,0.962205,2,3,0,8.37852,0.0909367,242
-6.86651,1.0,0.962205,1,3,0,7.95847,0.192675,243
-6.75474,0.907288,0.962205,2,3,0,7.49304,0.264676,244
-6.93237,0.94771,0.962205,1,3,0,7.01608,0.179664,245
-6.93237,0.532901,0.962205,1,3,0,10.2487,0.179664,246
-7.28993,0.929757,0.962205,1,1,0,7.29012,0.136953,247
-6.76652,0.963792,0.962205,1,3,0,7.4068,0.274541,248
-6.83383,0.979844,0.962205,1,1,0,6.83412,0.303998,249
-6.83196,1.0,0.962205,2,3,0,6.8583,0.303386,250
-7.16736,0.89606,0.962205,1,1,0,7.17009,0.374192,251
-6.77594,1.0,0.962205,2,3,0,7.20067,0.221265,252
-6.77119,1.0,0.962205,1,1,0,6.7798,0.22376,253
-6.95374,0.960151,0.962205,2,3,0,7.06986,0.176054,254
-7.27633,0.937151,0.962205,1,1,0,7.27835,0.138149,255
-7.61621,0.945421,0.962205,1,1,0,7.64857,0.113249,256
-8.20646,0.974456,0.962205,2,3,0,8.23473,0.0845434,257
-6.81051,1.0,0.962205,2,3,0,8.09929,0.207639,258
-6.93138,0.818532,0.962205,2,3,0,8.22654,0.179837,259
-6.8044,0.976235,0.962205,2,3,0,7.068,0.293451,260
-7.12377,0.885261,0.962205,1,3,0,7.42158,0.153299,261
-7.5232,0.931242,0.962205,1,1,0,7.53279,0.119199,262
-7.46653,1.0,0.962205,1,1,0,7.63929,0.123101,263
-6.95939,0.986555,0.962205,1,3,0,7.36807,0.175139,264
-6.95939,0.703197,0.962205,1,3,0,8.90776,0.175139,265
-7.82481,0.806378,0.962205,1,3,0,8.40841,0.454971,266
-9.1169,0.619968,0.962205,1,1,0,9.36928,0.559245,267
-7.44469,1.0,0.962205,2,3,0,8.79418,0.124666,268
-8.8856,0.899343,0.962205,2,3,0,8.91456,0.543424,269
-8.8856,0.390284,0.962205,1,1,0,11.0979,0.543424,270
-7.83785,1.0,0.962205,1,1,0,8.7729,0.456282,271
-6.8416,0.996335,0.962205,2,3,0,8.01697,0.198689,272
-6.89495,0.98772,0.962205,1,1,0,6.90733,0.186641,273
-7.08835,0.948544,0.962205,2,3,0,7.38683,0.15739,274
-7.26756,0.944465,0.962205,2,3,0,7.76533,0.138931,275
-6.79448,0.88698,0.962205,2,3,0,9.1738,0.213247,276
-6.79448,0.899589,0.962205,1,3,0,7.27423,0.213247,277
-9.94242,0.410021,0.962205,1,3,0,11.4458,0.041266,278
-9.31264,1.0,0.962205,1,1,0,10.0322,0.0527852,279
-6.99427,0.962509,0.962205,2,7,0,8.68274,0.343714,280
-6.99427,0.603569,0.962205,1,3,0,9.11703,0.343714,281
-7.27662,0.907554,0.962205,1,1,0,7.32368,0.390443,282
-6.95875,1.0,0.962205,2,3,0,7.18752,0.175241,283
-6.74822,0.938439,0.962205,2,3,0,7.58766,0.247507,284
-7.67976,0.791257,0.962205,1,3,0,7.77447,0.439833,285
-6.79028,1.0,0.962205,1,3,0,7.40031,0.287454,286
-7.06491,0.93815,0.962205,1,3,0,7.06491,0.357063,287
-6.80921,1.0,0.962205,2,3,0,6.98412,0.295329,288
-6.7694,1.0,0.962205,2,3,0,6.79821,0.224767,289
-6.93917,0.826632,0.962205,2,3,0,7.95736,0.17849,290
-6.77506,0.851571,0.962205,2,3,0,8.09002,0.221708,291
-6.90022,0.962358,0.962205,1,3,0,6.99024,0.32279,292
-6.76257,1.0,0.962205,1,3,0,6.85929,0.271713,293
-6.74808,0.999709,0.962205,2,3,0,6.76432,0.248608,294
-6.74843,0.998074,0.962205,2,3,0,6.75859,0.246422,295
-6.74815,0.953661,0.962205,2,3,0,7.00029,0.247984,296
-7.03804,0.928358,0.962205,1,3,0,7.10907,0.163704,297
-7.25344,0.9105,0.962205,1,3,0,7.84325,0.387135,298
-7.34628,0.989211,0.962205,2,3,0,7.5012,0.399996,299
-6.87497,1.0,0.962205,2,3,0,7.19446,0.316206,300
-6.76806,1.0,0.962205,1,1,0,6.84237,0.275563,301
-6.75248,1.0,0.962205,1,1,0,6.76358,0.261922,302
-6.77451,0.918606,0.962205,2,3,0,7.17287,0.221992,303
-7.23201,0.923979,0.962205,2,3,0,7.41257,0.384014,304
-6.89421,1.0,0.962205,2,3,0,7.13384,0.321271,305
-6.75012,0.999095,0.962205,1,3,0,6.88851,0.241953,306
-6.75403,0.99846,0.962205,1,3,0,6.75968,0.263863,307
-6.74917,0.999507,0.962205,1,3,0,6.75681,0.244036,308
-7.22643,0.886974,0.962205,1,3,0,7.34558,0.14273,309
-6.95554,0.959744,0.962205,1,3,0,7.69493,0.335643,310
-6.78334,1.0,0.962205,1,1,0,6.9019,0.28416,311
-6.76377,1.0,0.962205,1,1,0,6.77947,0.272611,312
-6.99443,0.871931,0.962205,2,3,0,7.4244,0.343746,313
-8.83962,0.518514,0.962205,1,1,0,8.84259,0.540164,314
-8.88544,0.983247,0.962205,1,1,0,9.62976,0.543413,315
-7.6187,0.999631,0.962205,2,7,0,8.53741,0.113097,316
-7.51178,1.0,0.962205,2,3,0,7.71903,0.119967,317
-6.98052,0.984888,0.962205,1,3,0,7.4102,0.171839,318
-7.68684,0.944939,0.962205,2,3,0,7.73494,0.440597,319
-6.90689,1.0,0.962205,1,1,0,7.42439,0.324442,320
-6.97062,0.979254,0.962205,1,1,0,7.01057,0.338862,321
-6.83995,1.0,0.962205,1,1,0,6.94139,0.305964,322
-7.24399,0.87524,0.962205,1,1,0,7.24646,0.385767,323
-7.25108,0.997507,0.962205,1,1,0,7.4143,0.386795,324
-6.76253,0.825581,0.962205,2,3,0,8.0405,0.271687,325
-6.86968,0.975887,0.962205,1,3,0,6.86993,0.314752,326
-6.88115,0.996325,0.962205,1,1,0,6.91653,0.317868,327
-6.76079,0.994495,0.962205,1,3,0,6.90992,0.23039,328
-6.8536,0.981451,0.962205,1,3,0,6.85574,0.195691,329
-6.75661,0.995129,0.962205,2,3,0,6.88946,0.23386,330
-7.28537,0.87177,0.962205,1,3,0,7.39239,0.391673,331
-7.00853,1.0,0.962205,1,1,0,7.24197,0.346539,332
-7.28942,0.520567,0.962205,2,3,0,9.805,0.39224,333
-6.83126,1.0,0.962205,1,1,0,7.13934,0.303152,334
-6.88977,0.98156,0.962205,1,1,0,6.90661,0.32013,335
-7.00938,0.961382,0.962205,1,1,0,7.03776,0.346705,336
-6.7521,1.0,0.962205,1,3,0,6.94676,0.261394,337
-6.80911,0.991236,0.962205,2,3,0,6.81495,0.208095,338
-6.75031,0.887601,0.962205,2,3,0,7.54027,0.241615,339
-7.5295,0.748417,0.962205,2,3,0,8.31815,0.422898,340
-7.05338,1.0,0.962205,1,1,0,7.41474,0.354985,341
-7.38844,0.73675,0.962205,1,3,0,8.30749,0.128877,342
-6.79969,0.992531,0.962205,2,3,0,7.4485,0.211324,343
-6.76174,0.994091,0.962205,1,3,0,6.83277,0.271078,344
-7.48873,0.876615,0.962205,2,3,0,7.53375,0.121545,345
-7.5828,0.949942,0.962205,2,3,0,8.38996,0.115326,346
-7.0931,1.0,0.962205,1,1,0,7.49673,0.156825,347
-7.51987,0.975209,0.962205,2,3,0,7.5251,0.119422,348
-7.24876,1.0,0.962205,1,1,0,7.51432,0.14064,349
-7.40511,0.973314,0.962205,1,1,0,7.46885,0.127602,350
-6.81452,0.939133,0.962205,1,3,0,7.67246,0.297321,351
-6.79668,1.0,0.962205,1,1,0,6.8205,0.290274,352
-6.93399,0.957678,0.962205,1,1,0,6.93656,0.33085,353
-6.82893,1.0,0.962205,1,1,0,6.91226,0.302376,354
-6.77609,0.990871,0.962205,1,3,0,6.89089,0.221193,355
-6.75312,0.991702,0.962205,2,3,0,6.83588,0.262761,356
-6.75312,0.638825,0.962205,1,3,0,8.5539,0.262761,357
-6.99094,0.959938,0.962205,2,3,0,7.0195,0.17028,358
